JD,Magnitude,Uncertainty
2456956.69,2.631,
2456956.778,2.029,
2456956.778,2.616,
2456956.862,2.025,
2456956.862,2.612,
2456956.955,2.024,
2456956.955,2.609,
2456966.515,1.979,
2456966.515,2.552,
2456966.606,1.982,
2456966.606,2.549,
2456966.697,1.98,
2456966.697,2.555,
2456966.788,1.978,
2456966.788,2.548,
2457239.434,2.1,
2457239.441,2.1,
2457576.469,2.2,
2457576.49,2.2,
2457769.493,2.2,
2457769.497,2.1,
2458668.751,1.993,0.003
2458669.845,1.932,0.005
2458670.797,1.943,0.009
2458671.75,1.981,0.004
2458672.775,2.001,0.006
2458803.462,2.1,
2458803.465,2.2,
2458907.782,0.972,0.018
2458907.782,0.664,0.009
2458918.763,0.992,0.014
2458918.763,0.686,0.01
2458947.694,0.918,0.011
2458947.695,0.682,0.003
2458948.701,0.932,0.01
2458948.702,0.677,0.02
2458949.718,0.927,0.008
2458949.718,0.663,0.013
2458950.668,0.907,0.013
2458950.668,0.653,0.014
2458950.726,1.997,0.001
2458950.727,1.318,0.016
2458951.654,0.898,0.01
2458951.655,0.654,0.009
2458952.715,0.936,0.008
2458952.715,0.684,0.004
2458953.698,0.951,0.007
2458953.699,0.68,0.003
2458953.74,1.991,0.001
2458953.74,1.348,0.004
2458954.656,0.95,0.007
2458954.657,0.677,0.001
2458954.716,2.006,0.009
2458954.717,1.346,0.009
2458956.664,0.928,0.006
2458956.664,0.658,0.014
2458957.667,0.96,0.008
2458957.668,0.656,0.008
2458959.673,0.92,0.019
2458959.673,0.678,0.013
2458960.664,0.928,0.012
2458960.664,0.682,0.005
2458973.798,1.999,0.001
2458973.798,1.361,0.013
2458976.724,1.952,0.002
2458976.724,1.309,0.002
2458977.78,2.01,0.004
2458977.78,1.363,0.011
2459019.846,1.945,0.003
2459019.847,1.303,0.005
2459022.886,1.984,0.008
2459022.887,1.342,0.004
2459023.85,1.952,0.005
2459023.85,1.316,0.003
2459033.855,2.016,0.002
2459033.855,1.344,0.006
