JD,Magnitude,Uncertainty
2460242.206,3.439,0.012
2460242.208,3.043,0.014
2460243.019,4.526,0.015
2460243.021,3.752,0.013
2460243.025,3.364,0.012
2460243.027,2.926,0.015
2460244.001,4.354,0.015
2460244.004,3.575,0.013
2460244.008,3.279,0.012
2460244.01,2.881,0.015
2460246.013,4.014,0.014
2460246.016,3.356,0.013
2460246.019,3.023,0.012
2460246.022,2.66,0.014
2460250.096,4.882,0.014
2460250.099,3.903,0.014
2460250.102,3.44,0.013
2460250.105,2.984,0.015
2460250.988,5.004,0.019
2460250.99,3.927,0.018
2460250.994,3.484,0.015
2460250.996,3.067,0.018
2460252.004,4.835,0.014
2460252.006,3.915,0.013
2460252.01,3.459,0.012
2460252.012,3.033,0.014
2460252.624,3.8,
2460252.995,4.498,0.014
2460252.997,3.696,0.013
2460253.001,3.292,0.012
2460253.003,2.913,0.015
2460253.782,3.8,
2460253.995,4.301,0.015
2460253.998,3.59,0.013
2460254.001,3.252,0.012
2460254.004,2.848,0.015
2460254.988,4.29,0.015
2460254.991,3.516,0.014
2460254.994,3.205,0.013
2460254.997,2.81,0.015
2460256.091,4.018,0.014
2460256.093,3.364,0.013
2460256.097,3.071,0.012
2460256.1,2.651,0.015
2460258.064,4.431,0.014
2460258.067,3.555,0.013
2460258.07,3.175,0.012
2460258.073,2.763,0.014
2460259.013,4.65,0.017
2460259.016,3.716,0.016
2460259.019,3.269,0.017
2460259.022,2.841,0.021
2460259.975,4.865,0.014
2460259.977,3.887,0.013
2460259.981,3.452,0.012
2460259.983,2.963,0.015
2460260.971,4.977,0.015
2460260.974,3.967,0.013
2460260.977,3.343,0.023
2460260.979,2.933,0.028
2460262.954,4.517,0.016
2460262.957,3.698,0.014
2460262.96,3.322,0.013
2460262.963,2.909,0.016
2460265.184,4.299,0.013
2460265.187,3.626,0.012
2460265.19,3.212,0.012
2460265.193,2.826,0.014
2460266.004,4.126,0.014
2460266.007,3.487,0.013
2460266.01,3.149,0.012
2460266.012,2.711,0.014
2460266.998,4.288,0.014
2460267.001,3.552,0.013
2460267.004,3.15,0.012
2460267.007,2.7,0.014
2460281.999,4.721,0.014
2460282.002,3.858,0.013
2460282.006,3.44,0.012
2460282.008,3.007,0.015
2460283.139,4.873,0.009
2460283.142,3.776,0.013
2460283.146,3.319,0.013
2460283.148,3.068,0.009
2460292.741,3.7,
2460296.655,3.5,
2460296.739,3.5,
2460298.556,3.7,
2460307.783,3.4,
2460314.988,4.063,0.014
2460314.991,3.465,0.013
2460314.995,3.13,0.012
2460314.998,2.685,0.016
2460319.152,4.926,0.016
2460319.156,3.989,0.013
2460319.159,3.536,0.012
2460319.163,3.04,0.016
2460325.538,3.5,
2460325.66,3.3,
2460326.654,3.4,
2460327.685,3.5,
2460328.682,3.7,
2460343.174,4.321,0.016
2460343.177,3.645,0.013
2460343.18,3.28,0.012
2460343.184,2.917,0.017
2460343.642,3.4,
2460344.096,4.089,0.016
2460344.1,3.466,0.013
2460344.103,3.142,0.012
2460344.106,2.777,0.017
2460344.495,3.5,
2460345.073,4.127,0.029
2460345.075,3.274,0.022
2460345.078,2.975,0.024
2460345.081,2.734,0.026
2460347.13,4.583,0.016
2460347.133,3.813,0.013
2460347.137,3.394,0.012
2460347.14,2.918,0.016
2460348.009,4.805,0.015
2460348.012,3.857,0.013
2460348.016,3.429,0.012
2460348.019,2.986,0.016
2460349.103,4.987,0.016
2460349.106,3.985,0.013
2460349.109,3.505,0.012
2460349.112,3.093,0.017
2460350.133,4.971,0.016
2460350.136,3.991,0.013
2460350.139,3.523,0.013
2460350.142,3.145,0.017
2460351.474,3.6,
2460352.087,4.504,0.016
2460352.09,3.727,0.013
2460352.093,3.377,0.012
2460352.096,2.952,0.017
2460352.472,3.6,
2460353.071,4.325,0.016
2460353.074,3.717,0.013
2460353.078,3.343,0.012
2460353.081,2.88,0.017
2460353.6,3.4,
2460360.147,4.919,0.035
2460360.15,3.957,0.042
2460360.152,3.528,0.04
2460360.155,3.178,0.058
2460370.569,3.5,
2460372.458,3.6,
2460373.113,4.233,0.017
2460373.116,3.583,0.014
2460373.12,3.252,0.012
2460373.123,2.827,0.017
2460377.05,4.697,0.016
2460377.053,3.789,0.014
2460377.057,3.35,0.013
2460377.06,2.93,0.017
2460378.045,4.928,0.016
2460378.048,4.011,0.013
2460378.051,3.546,0.012
2460378.055,3.02,0.017
2460378.577,4,
2460380.547,3.8,
2460380.956,4.609,0.036
2460380.958,3.882,0.05
2460380.961,3.328,0.078
2460384.467,3.6,
2460384.991,4.238,0.016
2460384.994,3.561,0.013
2460384.997,3.191,0.012
2460385,2.764,0.016
2460387.523,3.7,
2460394.978,4.338,0.015
2460394.982,3.707,0.013
2460394.985,3.275,0.012
2460394.988,2.78,0.017
2460395.98,4.499,0.017
2460395.983,3.652,0.014
2460395.987,3.257,0.013
2460395.99,2.837,0.017
2460396.942,4.759,0.017
2460396.945,3.826,0.013
2460396.948,3.365,0.013
2460396.952,2.975,0.017
2460398.432,3.8,
2460400.426,3.7,
2460402.422,3.7,
2460406.463,3.5,
2460407.997,5.002,0.018
2460408,3.966,0.014
2460408.003,3.499,0.013
2460408.007,3.094,0.018
2460411.948,4.323,0.016
2460411.952,3.667,0.014
2460411.955,3.305,0.013
2460411.958,2.885,0.017
2460412.967,4.137,0.018
2460412.97,3.551,0.015
2460412.973,3.112,0.016
2460412.976,2.811,0.021
2460414.985,4.322,0.021
2460414.988,3.597,0.016
2460414.992,3.224,0.014
2460414.995,2.828,0.019
2460415.921,4.534,0.019
2460415.925,3.716,0.015
2460415.928,3.31,0.014
2460415.931,2.847,0.018
2460417.913,4.973,0.017
2460417.917,4.001,0.014
2460417.92,3.507,0.013
2460417.924,3.082,0.018
2460419.914,4.649,0.017
2460419.917,3.841,0.014
2460419.92,3.42,0.013
2460419.924,2.997,0.018
2460420.927,4.449,0.016
2460420.93,3.695,0.014
2460420.933,3.369,0.012
2460420.936,2.924,0.017
2460422.92,4.102,0.033
2460422.923,3.479,0.014
2460422.926,3.184,0.013
2460422.929,2.764,0.018
2460431.932,4.296,0.017
2460431.935,3.578,0.014
2460431.938,3.237,0.013
2460431.941,2.896,0.018
2460432.892,4.05,0.018
2460432.896,3.482,0.014
2460432.899,3.095,0.013
2460432.902,2.713,0.018
2460433.888,4.244,0.018
2460433.892,3.541,0.015
2460433.895,3.124,0.014
2460433.898,2.781,0.021
2460435.889,4.635,0.017
2460435.893,3.776,0.014
2460435.896,3.322,0.013
2460435.899,2.905,0.018
2460436.887,4.884,0.017
2460436.89,3.915,0.014
2460436.894,3.453,0.013
2460436.897,3.011,0.018
2460444.897,4.449,0.018
2460444.901,3.683,0.015
2460444.904,3.263,0.014
2460444.907,2.814,0.018
2460448.853,4.893,0.017
2460448.856,4.005,0.014
2460448.86,3.531,0.013
2460448.863,3.102,0.018
2460452.851,4.039,0.019
2460452.854,3.399,0.015
2460452.858,3.091,0.014
2460452.861,2.718,0.018
2460453.855,4.258,0.018
2460453.858,3.589,0.015
2460453.861,3.225,0.013
2460453.864,2.788,0.018
2460455.868,4.665,0.019
2460455.871,3.771,0.016
2460455.875,3.249,0.015
2460455.878,2.786,0.022
2460458.868,4.843,0.019
2460458.871,3.961,0.015
2460458.875,3.461,0.014
2460458.878,3.038,0.019
2460463.853,4.31,0.018
2460463.856,3.561,0.015
2460463.86,3.207,0.013
2460463.863,2.724,0.018
2460467.851,5.007,0.018
2460467.854,3.997,0.015
2460467.858,3.525,0.014
2460467.861,3.118,0.018
2460468.851,4.782,0.019
2460468.854,3.919,0.015
2460468.858,3.455,0.014
2460468.861,3.043,0.019
2460480.329,4.31,0.022
2460480.332,3.582,0.017
2460480.336,3.226,0.015
2460480.339,2.84,0.02
2460483.319,4.181,0.025
2460483.322,3.39,0.021
2460483.326,2.97,0.019
2460483.329,2.629,0.026
2460548.839,3.9,
2460559.851,3.5,
2460581.819,3.5,
2460582.842,3.6,
2460586.714,3.8,
2460588.79,3.7,
2460599.826,3.6,
2460609.794,3.5,
2460615.803,3.7,
2460632.8,3.5,
2460679.51,3.6,
2460684.497,3.8,
2460694.549,3.8,
2460694.93,4,
2460698.5,3.65,
2460704.92,3.4,
2460708.479,3.55,
2460708.95,3.46,
2460712.493,4,
2460716.462,3.6,
2460721.476,3.9,
2460722.89,4.3,
2460729.524,3.65,
2460731.453,3.8,
2460732.451,3.8,
2460736.44,3.7,
2460738.451,3.65,
2460738.483,3.5,
2460739.44,3.5,
2460739.87,3.46,
2460740.434,3.6,
2460741.438,3.8,
2460743.439,3.9,
2460745.451,3.8,
2460750.462,3.8,
2460754.429,3.6,
2460754.85,3.7,
2460756.438,3.7,
2460759.85,3.5,
2460765.423,3.6,
2460770.431,3.7,
2460770.456,3.5,
2460771.417,3.8,
2460777.424,3.5,
2460792.409,3.9,
2460794.409,3.6,
2460799.404,3.7,
2460800.404,3.7,
2460801.405,3.9,
2460806.399,3.5,
2460807.408,3.5,
2460874.842,3.8,
2460878.847,3.6,
2460885.854,3.7,
2460888.849,3.8,
2460900.848,4,
2460904.847,3.6,
2460908.852,3.8,
2460931.84,3.8,
2460932.833,3.7,
2460941.821,3.8,
2460942.833,3.6,
2460990.793,3.5,
2460990.995,3.7,
2460991.977,3.6,
2460998.783,3.7,
2461000.608,3.9,
2461005.67,3.7,
2461006.051,3.6,
2461012.604,3.65,
2461022.667,3.7,
2461026.78,3.8,
2461053.49,3.65,
2461063.635,3.5,
2461066.611,4,
2461067.479,3.9,
2461068.481,3.9,
2461077.528,4,
2461078.005,4.4,
2461081.989,3.5,
