2454790.601	4.189
2454792.59	3.69
2454797.551	4.109
2454830.532	3.448
2454831.515	3.743
2454832.535	3.995
2454854.531	4.103
2454971.847	3.946
2454987.871	3.928
2455005.835	4.294
2455009.794	4.034
2455011.785	4.316
2455018.77	3.579
2455026.834	4.222
2455036.724	4.064
2455038.709	4.298
2455039.704	3.484
2455044.764	3.741
2455046.728	3.874
2455052.709	4.01
2455053.704	4.232
2455056.693	3.669
2455058.719	4.145
2455068.642	3.993
2455073.664	3.913
2455076.638	4.083
2455083.61	3.7
2455086.8	4.335
2455088.622	3.571
2455091.573	4.278
2455105.574	3.83
2455109.738	3.469
2455110.563	3.721
2455124.622	4.245
2455124.778	4.224
2455127.671	4.009
2455127.72	4.015
2455127.827	4.046
2455128.664	4.204
2455128.693	4.2
2455128.786	4.23
2455128.852	4.249
2455129.69	4.326
2455129.721	4.349
2455129.783	4.333
2455129.851	4.295
2455131.625	3.59
2455131.659	3.64
2455131.687	3.659
2455131.72	3.67
2455131.779	3.673
2455131.86	3.744
2455135.638	4.115
2455135.671	4.091
2455135.701	4.068
2455135.76	4.01
2455135.837	3.962
2455139.714	4.268
2455140.651	4.304
2455140.692	4.297
2455140.84	4.24
2455141.62	3.566
2455141.648	3.55
2455141.69	3.492
2455141.764	3.516
2455141.838	3.521
2455143.544	3.949
2455144.62	4.172
2455144.663	4.17
2455144.741	4.188
2455144.815	4.205
2455145.625	4.347
2455145.67	4.337
2455145.745	4.357
2455145.818	4.326
2455146.633	3.856
2455146.685	3.806
2455146.719	3.75
2455146.805	3.701
2455151.63	4.213
2455151.694	4.169
2455151.779	4.045
2455152.64	3.534
2455153.624	3.767
2455153.765	3.843
2455154.692	4.055
2455155.595	4.215
2455155.703	4.262
2455156.629	4.32
2455156.773	4.33
2455157.55	3.651
2455474.645	3.447
2455483.582	4.176
2455497.52	3.788
2455503.498	3.927
2455514.531	4.026
2455734.366	3.973
2455741.362	4.246
2455742.384	3.674
2455747.383	3.996
2455752.428	4.254
2455754.434	3.679
2455759.397	3.511
2455761.557	3.992
2455776.383	3.757
2455778.335	4.209
2455779.714	3.826
2455780.353	3.428
2455784.353	4.249
2455787.415	3.865
2455787.419	3.872
2455788.42	4.071
2455788.422	4.062
2455790.318	4.04
2455790.321	4.025
2455791.354	3.453
2455795.374	4.212
2455799.353	4.093
2455802.344	3.55
2455808.325	3.736
2455809.3	4.006
2455815.381	4.064
2455817.29	3.923
2455829.285	3.587
2455830.269	3.819
2455831.281	4.051
2455832.289	4.238
2455833.291	3.981
2455835.285	3.784
2455836.332	3.956
2455837.268	4.177
2455838.319	4.158
2455839.26	3.558
2455841.291	3.883
2455844.567	3.484
2455846.625	3.919
2455848.556	4.195
2455849.586	3.792
2455850.554	3.547
2455851.229	3.731
2455851.541	3.813
2455852.276	3.928
2455852.613	4.01
2455853.269	4.114
2455855.558	3.434
2455856.243	3.615
2455856.538	3.693
2455857.267	3.849
2455859.543	4.195
2455860.535	3.599
2455863.541	4.011
2455864.545	4.181
2455865.537	3.936
2455866.415	3.426
2455866.529	3.472
2455867.519	3.782
2455871.524	3.465
2455874.269	4.041
2455875.525	4.191
2455876.522	3.716
2455877.524	3.562
2455878.306	3.763
2455883.519	3.726
2455889.538	3.895
2455893.29	3.416
2455896.523	4.152
2455897.539	4.068
2455901.242	4.04
2455904.205	3.561
2455907.225	4.133
2455930.205	3.659
2455947.254	3.591
2455984.665	3.457
2455984.668	3.528
2456008.626	4.105
2456008.629	4.069
2456025.602	4.227
2456035.609	4.11
2456040.585	4.028
2456040.595	4.054
2456046.582	4.13
2456046.59	4.126
2456048.448	3.459
2456065.441	3.618
2456065.444	3.531
2456072.419	3.867
2456074.404	4.246
2456081.389	3.568
2456094.447	4.11
2456094.489	4.079
2456095.46	4.249
2456096.552	3.732
2456100	4
2456101.406	4.087
2456102.365	3.321
2456102.9	3.7
2456106.424	4.222
2456107.375	3.598
2456111.385	4.189
2456111.9	4.2
2456117.383	4.147
2456125.349	3.82
2456127.371	4.199
2456132.374	4.181
2456135.443	3.709
2456145.339	3.467
2456151.442	3.594
2456152.345	3.937
2456153.422	4.038
2456154.316	4.233
2456155.36	3.923
2456155.537	3.694
2456157.41	3.778
2456158.366	3.929
2456159.365	4.182
2456167.298	3.579
2456168.342	3.863
2456177.332	3.453
2456177.338	3.472
2456179.376	3.862
2456180.277	4.074
2456180.551	4.073
2456180.665	4.168
2456181.56	4.177
2456182.288	3.84
2456182.399	3.676
2456182.574	3.522
2456185.619	4.041
2456186.594	4.199
2456187.302	4.164
2456187.546	3.895
2456188.513	3.476
2456189.564	3.758
2456191.272	4.148
2456191.545	4.142
2456192.292	4.249
2456193.602	3.433
2456194.265	3.599
2456194.55	3.699
2456195.58	3.937
2456196.558	4.089
2456199.286	3.495
2456199.402	3.494
2456203.381	4.093
2456204.324	3.425
2456206.263	3.959
2456209.267	3.656
2456220.255	3.44
2456220.258	3.455
2456223.267	4.044
2456226.309	3.535
2456228.413	4
2456231.454	3.462
2456232.478	3.787
2456234.215	4.106
2456236.08	3.687
2456237.028	3.571
2456237.308	3.644
